"Step","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MIN","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MAX"
"0","2.310546875","2.310546875","2.310546875"
"553","2.26953125","2.26953125","2.26953125"
"1106","2.12109375","2.12109375","2.12109375"
"1659","2.951171875","2.951171875","2.951171875"
"2212","2.625","2.625","2.625"
"2765","2.189453125","2.189453125","2.189453125"
"3318","2.322265625","2.322265625","2.322265625"
"3871","2.130859375","2.130859375","2.130859375"
"4424","2.802734375","2.802734375","2.802734375"
"4977","2.751953125","2.751953125","2.751953125"
"5530","3.880859375","3.880859375","3.880859375"
"6083","2.763671875","2.763671875","2.763671875"
"6636","2.16796875","2.16796875","2.16796875"
"7189","2.310546875","2.310546875","2.310546875"
"7742","2.9453125","2.9453125","2.9453125"
"8295","2.814453125","2.814453125","2.814453125"
"8848","2.337890625","2.337890625","2.337890625"
"9401","2.4453125","2.4453125","2.4453125"
"9954","2.31640625","2.31640625","2.31640625"
"10507","2.78125","2.78125","2.78125"
"11060","2.63671875","2.63671875","2.63671875"
"11613","2.35546875","2.35546875","2.35546875"
"12166","2.427734375","2.427734375","2.427734375"
"12719","2.39453125","2.39453125","2.39453125"
"13272","2.71484375","2.71484375","2.71484375"
"13825","2.771484375","2.771484375","2.771484375"
"14378","2.3046875","2.3046875","2.3046875"
"14931","3.03515625","3.03515625","3.03515625"
"15484","4.17578125","4.17578125","4.17578125"
"16037","3.07421875","3.07421875","3.07421875"
"16590","7.052734375","7.052734375","7.052734375"
"17143","3.65234375","3.65234375","3.65234375"
"17696","3.001953125","3.001953125","3.001953125"
"18249","2.587890625","2.587890625","2.587890625"
"18802","2.6328125","2.6328125","2.6328125"
"19355","2.27734375","2.27734375","2.27734375"
"19908","2.330078125","2.330078125","2.330078125"
"20461","2.33203125","2.33203125","2.33203125"
"21014","2.529296875","2.529296875","2.529296875"
"21567","2.716796875","2.716796875","2.716796875"
"22120","4.115234375","4.115234375","4.115234375"
"22673","2.490234375","2.490234375","2.490234375"
"23226","2.546875","2.546875","2.546875"
"23779","2.283203125","2.283203125","2.283203125"
"24332","2.529296875","2.529296875","2.529296875"
"24885","2.2421875","2.2421875","2.2421875"
"25438","2.513671875","2.513671875","2.513671875"
"25991","2.96484375","2.96484375","2.96484375"
"26544","2.462890625","2.462890625","2.462890625"
"27097","2.421875","2.421875","2.421875"
"27650","2.353515625","2.353515625","2.353515625"
"28203","2.24609375","2.24609375","2.24609375"
"28756","2.69921875","2.69921875","2.69921875"
"29309","2.021484375","2.021484375","2.021484375"
"29862","2.751953125","2.751953125","2.751953125"
"30415","2.603515625","2.603515625","2.603515625"
